ID,description,index_category
ONEK900101,"Delta G values for the peptides extrapolated to 0 M urea (O'Neil-DeGrado,  1990)",other
ONEK900102,"Helix formation parameters (delta delta G) (O'Neil-DeGrado, 1990)",alpha and turn
PARS000101,"p-Values of mesophilic proteins based on the distributions of B values  (Parthasarathy-Murthy, 2000)",other
PARS000102,"p-Values of thermophilic proteins based on the distributions of B values  (Parthasarathy-Murthy, 2000)",other
PONJ960101,"Average volumes of residues (Pontius et al., 1996)",other
PONP930101,"Hydrophobicity scales (Ponnuswamy, 1993)",Hydrophobicity
PUNT030101,"Knowledge-based membrane-propensity scale from 1D_Helix in MPtopo databases  (Punta-Maritan, 2003)",alpha and turn
PUNT030102,"Knowledge-based membrane-propensity scale from 3D_Helix in MPtopo databases  (Punta-Maritan, 2003)",alpha and turn
ROSM880104,"Hydropathies of amino acid side chains, neutral form (Roseman, 1988)",other
ROSM880105,"Hydropathies of amino acid side chains, pi-values in pH 7.0 (Roseman, 1988)",other
SUYM030101,"Linker propensity index (Suyama-Ohara, 2003)",other
TAKK010101,"Side-chain contribution to protein stability (kJ/mol) (Takano-Yutani, 2001)",other
TSAJ990101,"Volumes including the crystallographic waters using the ProtOr (Tsai et al.,  1999)",other
TSAJ990102,"Volumes not including the crystallographic waters using the ProtOr (Tsai et  al., 1999)",other
VINM940101,"Normalized flexibility parameters (B-values), average (Vihinen et al., 1994)",other
VINM940102,"Normalized flexibility parameters (B-values) for each residue surrounded by  none rigid neighbours (Vihinen et al., 1994)",other
VINM940103,"Normalized flexibility parameters (B-values) for each residue surrounded by  one rigid neighbours (Vihinen et al., 1994)",other
VINM940104,"Normalized flexibility parameters (B-values) for each residue surrounded by  two rigid neighbours (Vihinen et al., 1994)",other
WILM950101,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/MeCN/H2O (Wilce et  al. 1995)",Hydrophobicity
WILM950102,"Hydrophobicity coefficient in RP-HPLC, C8 with 0.1%TFA/MeCN/H2O (Wilce et al.  1995)",Hydrophobicity
WILM950103,"Hydrophobicity coefficient in RP-HPLC, C4 with 0.1%TFA/MeCN/H2O (Wilce et al.  1995)",Hydrophobicity
WILM950104,"Hydrophobicity coefficient in RP-HPLC, C18 with 0.1%TFA/2-PrOH/MeCN/H2O  (Wilce et al. 1995)",Hydrophobicity
WIMW960101,"Free energies of transfer of AcWl-X-LL peptides from bilayer interface to  water (Wimley-White, 1996)",other
WOLR790101,"Hydrophobicity index (Wolfenden et al., 1979)",Hydrophobicity
YANJ020101,"Side-chain conformation by gaussian evolutionary method (Yang et al., 2002)",other
ZHOH040101,"The stability scale from the knowledge-based atom-atom potential (Zhou-Zhou,  2004)",other
ZHOH040102,"The relative stability scale extracted from mutation experiments (Zhou-Zhou,  2004)",other
ZHOH040103,"Buriability (Zhou-Zhou, 2004)",other
