"","x"
"119",-10.9416157706785
"120",-1.36548607621211
"121",-10.9416157706785
"122",-1.36548607621211
"123",1.46516935470372
"124",1.64522904007179
"125",-2.38688607723642
"126",1.46516935470372
"127",-10.9416157706785
"128",-0.716279280383926
"129",-3.6681065145877
"130",1.64522904007179
"131",-0.716279280383926
"132",-0.716279280383926
"133",3.2315328314636
"134",3.2315328314636
"135",-6.88814880312496
"136",-10.9416157706785
"137",3.2315328314636
"138",-3.6681065145877
"139",1.64522904007179
"140",-3.58246871905927
"141",-1.36548607621211
"142",-1.36548607621211
"143",-0.716279280383926
"144",5.30451628440296
"145",0.540831767060775
"146",1.64522904007179
"147",-2.47067502679022
"148",-6.88814880312496
"149",-1.36548607621211
"150",1.64522904007179
"151",-0.716279280383926
"152",0
"153",0
"154",0
"155",3.2315328314636
"156",-3.58246871905927
"157",11.8520603149804
"158",-3.6681065145877
"159",-2.47067502679022
"160",-1.36548607621211
"161",-1.36548607621211
"162",-1.36548607621211
"163",-6.88814880312496
"164",6.75843626260236
"165",-0.716279280383926
"166",-2.95113204210238
"167",-1.36548607621211
"168",11.8520603149804
"169",-6.88814880312496
"170",1.46516935470372
"171",-10.9416157706785
"172",-3.6681065145877
"173",-10.9416157706785
"174",1.64522904007179
"175",-6.88814880312496
"176",-6.88814880312496
"177",-3.6681065145877
"178",-2.95113204210238
"179",-0.716279280383926
"180",-3.58246871905927
"181",-6.88814880312496
"182",0.540831767060775
"183",-3.58246871905927
"184",1.46516935470372
"185",2.5905917502524
"186",-6.88814880312496
"187",-6.33301185182921
"188",1.46516935470372
"189",5.30451628440296
"190",3.2315328314636
"191",5.82519376499004
"192",1.64522904007179
"193",-6.88814880312496
"194",-6.33301185182921
"195",3.2315328314636
"196",1.64522904007179
"197",-10.9416157706785
"198",-3.58246871905927
"199",3.2315328314636
"200",-6.88814880312496
"201",-6.88814880312496
"202",-6.33301185182921
"203",-0.716279280383926
"204",1.64522904007179
"205",5.30451628440296
"206",1.46516935470372
"207",1.64522904007179
"208",6.75843626260236
"209",-10.9416157706785
"210",-10.9416157706785
"211",-6.33301185182921
"212",-6.88814880312496
"213",-2.47067502679022
"214",-10.9416157706785
"215",-6.33301185182921
"216",-2.47067502679022
"217",-6.88814880312496
"218",-1.36548607621211
"219",-3.6681065145877
"220",5.82519376499004
"221",3.2315328314636
"222",-3.58246871905927
"223",3.2315328314636
"224",-6.88814880312496
"225",-3.58246871905927
"226",-1.36548607621211
"227",-3.58246871905927
"228",-10.9416157706785
"229",5.82519376499004
"230",1.64522904007179
"231",-1.36548607621211
"232",-10.9416157706785
"233",-10.9416157706785
"234",-6.88814880312496
"235",-6.33301185182921
"236",1.64522904007179
"237",3.2315328314636
"238",-2.95113204210238
"239",-0.716279280383926
"240",5.82519376499004
"241",-1.36548607621211
"242",-3.58246871905927
"243",1.46516935470372
"244",1.46516935470372
"245",-2.47067502679022
"246",-6.33301185182921
"247",5.30451628440296
"248",-2.47067502679022
